image_id,street,citi,n_citi,bed,bath,sqft,price,price_sqft,counts_locations,average_price_price_sqft
0,1317 Van Buren Avenue,"Salton City, CA",317,3,2,1560,201900,129,2,152
1,124 C Street W,"Brawley, CA",48,3,2,713,228500,320,5,277
2,2304 Clark Road,"Imperial, CA",152,3,1,800,273950,342,1,342
3,755 Brawley Avenue,"Brawley, CA",48,3,1,1082,350000,323,5,277
4,2207 R Carrillo Court,"Calexico, CA",55,4,3,2547,385100,151,2,151
5,755 Brawley Avenue,"Brawley, CA",48,3,1,1082,350000,323,5,277
6,1100 CAMILIA Street,"Calexico, CA",55,4,3,2769,415000,150,2,151
7,803 Chaparral Court,"Brawley, CA",48,5,2.1,2600,545000,210,5,277
8,803 Chaparral Court,"Brawley, CA",48,5,2.1,2600,545000,210,5,277
9,2306 Lark Court,"Salton City, CA",317,4,5.1,3932,690000,175,2,152
10,38833 Gorman Post Road,"Gorman, CA",129,3,2.1,4044,1350000,334,3,231
11,8072 Cuddy Valley Road,"Frazier Park, CA",122,5,5.1,6247,1499000,240,36,195
12,818 155th Street W,"Rosamond, CA",312,2,2,2466,1488000,603,32,232
13,12869 Sierra Way,"Kernville, CA",164,3,2,2686,995000,370,3,308
14,230 Gaskell Road,"Rosamond, CA",312,1,1,1048,2000000,1908,32,232
15,8072 Cuddy Valley Road,"Frazier Park, CA",122,5,5.1,6247,1499000,240,36,195
16,11265 Steinhoff Road,"Frazier Park, CA",122,3,3.1,4597,1550000,337,36,195
17,12471 Boy Scout Camp Road,"Frazier Park, CA",122,8,3.1,4236,1850000,437,36,195
18,0 Oak Creek rd,"Tehachapi, CA",367,4,1.1,1980,1995000,1008,43,176
19,226 Spruce Street,"Tehachapi, CA",367,4,2.1,1967,249950,127,43,176
20,632 Grove Street,"Arvin, CA",20,4,2,1573,205000,130,5,173
21,9225 Rea Avenue,"California City, CA",57,5,3,2065,249000,121,20,129
22,6005 N charmain,"Bakersfield, CA",24,3,2,1087,195000,179,74,175
23,3405 San Carlos,"Frazier Park, CA",122,3,2,1400,229000,164,36,195
24,19800 Nonie Court,"California City, CA",57,3,2,1533,229000,149,20,129
25,11001 Meacham Road,"Bakersfield, CA",24,2,1,966,239900,248,74,175
26,3933 Encino,"Frazier Park, CA",122,3,2.1,1760,235000,134,36,195
27,347 Cypress Street,"Bakersfield, CA",24,3,2,1478,239900,162,74,175
28,3305 Reeder Avenue,"Bakersfield, CA",24,4,3,1876,240000,128,74,175
29,2001 WILLIAM F. HALSEY Avenue,"Bakersfield, CA",24,3,2,1820,239990,132,74,175
30,1835 Kavalier Ct,"Bakersfield, CA",24,3,2,1873,219000,117,74,175
31,3409 Glendower Street,"Rosamond, CA",312,3,2,1265,220000,174,32,232
32,2013 College Drive,"Delano, CA",99,3,1,1364,199500,146,1,146
33,8308 Ailanthus Court,"Bakersfield, CA",24,3,2,1004,224990,224,74,175
34,11801 Pasture Avenue,"Tehachapi, CA",367,4,3.1,3648,249000,68,43,176
35,8315 Hemlock Court,"Bakersfield, CA",24,3,2.1,1608,250000,155,74,175
36,2131 OAK Street,"Rosamond, CA",312,3,2,1504,225000,150,32,232
37,608 Poinsettia Avenue,"Rosamond, CA",312,3,2,1425,255000,179,32,232
38,21413 Yerba Boulevard,"California City, CA",57,5,3,2190,234900,107,20,129
39,2822 Dixie Street,"Rosamond, CA",312,3,2,1500,245000,163,32,232
40,9224 Evelyn Avenue,"California City, CA",57,3,2,1410,198000,140,20,129
41,2504 Lebec Oaks Road,"Lebec, CA",196,3,2,1152,199900,174,6,158
42,16521 Mil Potrero,"Pine Mountain Club, CA",282,3,2,1440,235000,163,67,178
43,200 Oak Street,"Frazier Park, CA",122,2,2,1008,216500,215,36,195
44,21110 S. Charlene Place,"California City, CA",57,3,2,1562,225000,144,20,129
45,15808 Mil Potrero,"Pine Mountain Club, CA",282,2,1,974,210000,216,67,178
46,14700 Tumbleweed Place,"Frazier Park, CA",122,3,1.1,1440,219000,152,36,195
47,7108 Lakeview Drive,"Frazier Park, CA",122,2,1,896,198500,222,36,195
48,4400 Vista Mesa Drive,"Bakersfield, CA",24,4,3,1848,219900,119,74,175
49,2309 Symonds Drive,"Pine Mountain Club, CA",282,2,2,1378,249000,181,67,178
50,228 W D Street,"Tehachapi, CA",367,4,2,1421,229900,162,43,176
51,1942 El Rey Street,"Rosamond, CA",312,3,2,1222,216000,177,32,232
52,3633 Capri Court,"Rosamond, CA",312,2,2,956,230000,241,32,232
53,21410 Brook Drive,"Tehachapi, CA",367,3,2,1320,249000,189,43,176
54,1456 BRADFORD Avenue,"Rosamond, CA",312,3,2,1484,255000,172,32,232
55,2737 Hempstead Lane,"Bakersfield, CA",24,3,2,1499,233000,155,74,175
56,7741 Columbine Avenue,"California City, CA",57,3,2,1422,195000,137,20,129
57,1822 Matterhorn Drive,"Pine Mountain Club, CA",282,3,2.1,1152,238000,207,67,178
58,8901 Eucalyptus Avenue,"California City, CA",57,3,2,1774,230000,130,20,129
59,2805 Klondike Way,"Pine Mountain Club, CA",282,3,2,1584,219000,138,67,178
60,1748 Linden Drive,"Pine Mountain Club, CA",282,4,2,1368,239900,175,67,178
61,6702 Windpiper Lane,"Bakersfield, CA",24,3,2,1268,234900,185,74,175
62,24440 Jacaranda Drive,"Tehachapi, CA",367,4,2,1888,255000,135,43,176
63,9347 Columbine Avenue,"California City, CA",57,3,2,1877,199000,106,20,129
64,2317 Glacier Drive,"Frazier Park, CA",122,3,2,1290,237500,184,36,195
65,14228 Yellowstone Drive,"Pine Mountain Club, CA",282,2,2,949,209750,221,67,178
66,21451 Santa Maria Drive,"Tehachapi, CA",367,3,2,1402,239000,170,43,176
